input,country,year,value
high,ME,2015,
high,ME,2016,
high,ME,2017,
high,ME,2018,
high,ME,2019,
high,MK,2010,
high,MK,2011,
high,MK,2012,
high,MK,2013,
high,MK,2014,
high,MK,2015,
high,MK,2016,
high,MK,2017,
high,MK,2018,
high,MK,2019,
high,MT,2010,2756.0
high,MT,2011,2551.0
high,MT,2012,2427.0
high,MT,2013,2472.0
high,MT,2014,2451.0
high,MT,2015,2496.0
high,MT,2016,2825.0
high,MT,2017,2378.0
high,MT,2018,2173.0
high,MT,2019,2294.0
high,NL,2010,628049.0
high,NL,2011,658583.0
high,NL,2012,750407.0
high,NL,2013,812580.0
high,NL,2014,833030.0
high,NL,2015,907527.0
high,NL,2016,946060.0
high,NL,2017,971940.0
high,NL,2018,935553.0
high,NL,2019,907023.0
high,NO,2010,
high,NO,2011,
high,NO,2012,
high,NO,2013,
high,NO,2014,
high,NO,2015,
high,NO,2016,
high,NO,2017,
high,NO,2018,
high,NO,2019,
high,PL,2010,4478700.0
high,PL,2011,4242420.0
high,PL,2012,4324647.0
high,PL,2013,4513776.0
high,PL,2014,4732209.0
high,PL,2015,4832847.0
high,PL,2016,4750786.0
high,PL,2017,4704436.0
high,PL,2018,4650177.0
high,PL,2019,4415574.0
high,PT,2010,908183.0
high,PT,2011,903504.0
high,PT,2012,810857.0
high,PT,2013,782962.0
high,PT,2014,915299.0
high,PT,2015,990893.0
high,PT,2016,1005585.0
high,PT,2017,916516.0
high,PT,2018,1082397.0
high,PT,2019,906568.0
high,RO,2010,3585870.0
high,RO,2011,3502825.0
high,RO,2012,2734315.0
high,RO,2013,3925510.0
high,RO,2014,4590209.0
high,RO,2015,4724126.0
high,RO,2016,5401394.0
high,RO,2017,5486848.0
high,RO,2018,7242185.0
high,RO,2019,6719566.0
high,RS,2010,
high,RS,2011,
high,RS,2012,
high,RS,2013,
high,RS,2014,
high,RS,2015,
high,RS,2016,
high,RS,2017,
high,RS,2018,
high,RS,2019,
high,RU,2010,
high,RU,2011,
high,RU,2012,
high,RU,2013,
high,RU,2014,
high,RU,2015,
high,RU,2016,
high,RU,2017,
high,RU,2018,
high,RU,2019,
high,SE,2010,906970.0
high,SE,2011,956901.0
high,SE,2012,1185058.0
high,SE,2013,1181423.0
high,SE,2014,1204506.0
high,SE,2015,1019095.0
high,SE,2016,1038354.0
high,SE,2017,948505.0
high,SE,2018,860121.0
high,SE,2019,986564.0
high,SI,2010,150865.0
high,SI,2011,152814.0
high,SI,2012,164476.0
high,SI,2013,149077.0
high,SI,2014,135370.0
high,SI,2015,137072.0
high,SI,2016,142136.0
high,SI,2017,139378.0
high,SI,2018,139975.0
high,SI,2019,150554.0
high,SK,2010,726614.0
high,SK,2011,1049154.0
high,SK,2012,1153104.0
high,SK,2013,1174647.0
high,SK,2014,1197007.0
high,SK,2015,1067986.0
high,SK,2016,1134776.0
high,SK,2017,1040859.0
high,SK,2018,1040332.0
high,SK,2019,1013892.0
high,SM,2010,
high,SM,2011,
high,SM,2012,
high,SM,2013,
high,SM,2014,
high,SM,2015,
high,SM,2016,
high,SM,2017,
high,SM,2018,
high,SM,2019,
high,TR,2010,
high,TR,2011,
high,TR,2012,
high,TR,2013,
high,TR,2014,
high,TR,2015,
high,TR,2016,
high,TR,2017,
high,TR,2018,
high,TR,2019,
high,UA,2010,
high,UA,2011,
high,UA,2012,
high,UA,2013,
high,UA,2014,
high,UA,2015,
high,UA,2016,
high,UA,2017,
high,UA,2018,
high,UA,2019,
high,UK,2010,4851262.0
high,UK,2011,4625009.0
high,UK,2012,6126828.0
high,UK,2013,5837239.0
high,UK,2014,6323063.0
high,UK,2015,6614354.0
high,UK,2016,6451072.0
high,UK,2017,5339486.0
high,UK,2018,5078686.0
high,UK,2019,5163010.0
high,VA,2010,
high,VA,2011,
high,VA,2012,
high,VA,2013,
high,VA,2014,
high,VA,2015,
high,VA,2016,
high,VA,2017,
high,VA,2018,
high,VA,2019,
low,AD,2010,
low,AD,2011,
low,AD,2012,
low,AD,2013,
low,AD,2014,
low,AD,2015,
low,AD,2016,
low,AD,2017,
low,AD,2018,
low,AD,2019,
low,AL,2010,
low,AL,2011,
low,AL,2012,
low,AL,2013,
low,AL,2014,
low,AL,2015,
low,AL,2016,
low,AL,2017,
low,AL,2018,
low,AL,2019,
low,AM,2010,
low,AM,2011,
low,AM,2012,
low,AM,2013,
low,AM,2014,
low,AM,2015,
low,AM,2016,
low,AM,2017,
low,AM,2018,
low,AM,2019,
low,AT,2010,960426.0
low,AT,2011,863095.0
low,AT,2012,967032.0
low,AT,2013,1009271.0
low,AT,2014,681824.0
low,AT,2015,649716.0
low,AT,2016,651960.0
low,AT,2017,494037.0
low,AT,2018,491026.0
low,AT,2019,547294.0
low,AZ,2010,
low,AZ,2011,
low,AZ,2012,
low,AZ,2013,
low,AZ,2014,
low,AZ,2015,
low,AZ,2016,
low,AZ,2017,
low,AZ,2018,
low,AZ,2019,
low,BA,2010,
low,BA,2011,
low,BA,2012,
low,BA,2013,
low,BA,2014,
low,BA,2015,
low,BA,2016,
low,BA,2017,
low,BA,2018,
low,BA,2019,
low,BE,2010,495867.0
low,BE,2011,496575.0
low,BE,2012,530485.0
low,BE,2013,643372.0
low,BE,2014,738745.0
low,BE,2015,886323.0
low,BE,2016,844236.0
low,BE,2017,909937.0
low,BE,2018,924099.0
low,BE,2019,944768.0
low,BG,2010,1328738.0
low,BG,2011,1202360.0
low,BG,2012,885515.0
low,BG,2013,662228.0
low,BG,2014,576256.0
low,BG,2015,488042.0
low,BG,2016,442743.0
low,BG,2017,427003.0
low,BG,2018,532525.0
low,BG,2019,557321.0
low,BY,2010,
low,BY,2011,
low,BY,2012,
low,BY,2013,
low,BY,2014,
low,BY,2015,
low,BY,2016,
low,BY,2017,
low,BY,2018,
low,BY,2019,
low,CH,2010,
low,CH,2011,
low,CH,2012,
low,CH,2013,
low,CH,2014,
low,CH,2015,
low,CH,2016,
low,CH,2017,
low,CH,2018,
low,CH,2019,
low,CY,2010,31385.0
low,CY,2011,28366.0
low,CY,2012,24514.0
low,CY,2013,29589.0
low,CY,2014,54686.0
low,CY,2015,57331.0
low,CY,2016,71827.0
low,CY,2017,62969.0
low,CY,2018,62443.0
low,CY,2019,54773.0
low,CZ,2010,1112329.0
low,CZ,2011,1090670.0
low,CZ,2012,1145937.0
low,CZ,2013,1150350.0
low,CZ,2014,1107333.0
low,CZ,2015,1049633.0
low,CZ,2016,1058738.0
low,CZ,2017,996947.0
low,CZ,2018,981757.0
low,CZ,2019,975335.0
low,DE,2010,5494458.0
low,DE,2011,4605367.0
low,DE,2012,4289443.0
low,DE,2013,4337700.0
low,DE,2014,3933196.0
low,DE,2015,4823753.0
low,DE,2016,5372867.0
low,DE,2017,5780272.0
low,DE,2018,4596128.0
low,DE,2019,4753780.0
low,DK,2010,890977.0
low,DK,2011,823210.0
low,DK,2012,730453.0
low,DK,2013,777979.0
low,DK,2014,1066414.0
low,DK,2015,1077574.0
low,DK,2016,1124780.0
low,DK,2017,1271530.0
low,DK,2018,1333564.0
low,DK,2019,1177471.0
low,EE,2010,327167.0
low,EE,2011,268547.0
low,EE,2012,280363.0
low,EE,2013,294428.0
low,EE,2014,275522.0
low,EE,2015,288187.0
low,EE,2016,297112.0
low,EE,2017,306095.0
low,EE,2018,319992.0
low,EE,2019,322766.0
low,EL,2010,890357.0
low,EL,2011,1037174.0
low,EL,2012,1140109.0
low,EL,2013,1423437.0
low,EL,2014,1371463.0
low,EL,2015,1317042.0
low,EL,2016,1483709.0
low,EL,2017,1336757.0
low,EL,2018,1250353.0
low,EL,2019,1248401.0
low,ES,2010,6522218.0
low,ES,2011,6872006.0
low,ES,2012,7880979.0
low,ES,2013,6875173.0
low,ES,2014,6199914.0
low,ES,2015,5225943.0
low,ES,2016,5535029.0
low,ES,2017,5458256.0
low,ES,2018,5230688.0
low,ES,2019,5969066.0
low,FI,2010,727956.0
low,FI,2011,840866.0
low,FI,2012,751244.0
low,FI,2013,728963.0
low,FI,2014,693204.0
low,FI,2015,821960.0
low,FI,2016,725325.0
low,FI,2017,875595.0
low,FI,2018,943133.0
low,FI,2019,854083.0
low,FO,2010,
low,FO,2011,
low,FO,2012,
low,FO,2013,
low,FO,2014,
low,FO,2015,
low,FO,2016,
low,FO,2017,
low,FO,2018,
low,FO,2019,
low,FR,2010,8600329.0
low,FR,2011,8395554.0
low,FR,2012,7252814.0
low,FR,2013,7347353.0
low,FR,2014,7210035.0
low,FR,2015,7390881.0
low,FR,2016,7324186.0
low,FR,2017,8470611.0
low,FR,2018,8252196.0
low,FR,2019,8692255.0
low,GE,2010,
low,GE,2011,
low,GE,2012,
low,GE,2013,
low,GE,2014,
low,GE,2015,
low,GE,2016,
low,GE,2017,
low,GE,2018,
low,GE,2019,
low,HR,2010,
low,HR,2011,
low,HR,2012,
low,HR,2013,412622.0
low,HR,2014,373448.0
